1.0 0.33620530448467627E+001 0.99929113232775420E-002 0.28980171538111688E-015 0.14469156613302304E-017
2.0 0.36193893607999561E+001 0.95689457394490893E-002 0.32304240149417161E-015 0.14175787152518483E-017
3.0 0.36224266292595888E+001 0.61746603782509412E-002 0.32296296700384508E-015 0.93022839071636015E-018
4.0 0.36404140281104431E+001 0.10117057787043941E-001 0.32609527706791167E-015 0.15450438591021563E-017
5.0 0.36231601516431584E+001 0.79479087787539121E-002 0.32340380745687208E-015 0.11979164296171799E-017
6.0 0.36426125929960240E+001 0.76814534334634773E-002 0.32600614288044987E-015 0.11249847910945070E-017
7.0 0.36333762889269230E+001 0.13116845666192291E-001 0.32608337216789853E-015 0.28028814645946084E-017
8.0 0.36455206627947998E+001 0.13558471979412991E-001 0.32860185251045671E-015 0.36366818657034239E-017
9.0 0.36396798912306423E+001 0.87979954127252770E-002 0.32601928847739048E-015 0.13917054480459729E-017
10.0 0.36300943038933537E+001 0.81832471780939366E-002 0.32384928582001313E-015 0.10972159135037619E-017
