1.0 -0.13443776152002405E+002 0.50608861456877575E-002
2.0 -0.13609005803668197E+002 0.29504076767342272E-002
3.0 -0.13613594350940522E+002 0.30183857745800994E-002
4.0 -0.13621234904367434E+002 0.34697912130554039E-002
5.0 -0.13616740750041526E+002 0.39535916434146412E-002
6.0 -0.13621888862935149E+002 0.32636928872650200E-002
7.0 -0.13614011680843195E+002 0.40997584902388159E-002
8.0 -0.13620579088971910E+002 0.42068104627465052E-002
9.0 -0.13625077788844175E+002 0.40400457315463382E-002
10.0 -0.13620589174170926E+002 0.35880705567131891E-002
