1.0 0.29225334751971350E+001 0.44480589000560414E-002 0.23444021181792387E-015 0.62705141943058036E-018
2.0 0.33734926387368409E+001 0.16633759289835907E-001 0.29330019861407075E-015 0.28430829207387989E-017
3.0 0.35214316237915826E+001 0.87176685584791653E-002 0.31126984795628356E-015 0.14092862828443681E-017
4.0 0.35869442257641055E+001 0.71565331162296176E-002 0.31927256166713169E-015 0.10132948496920120E-017
5.0 0.36054451794018614E+001 0.13699779234457334E-001 0.32012267898070876E-015 0.13996722181303640E-017
6.0 0.36130460981283226E+001 0.57595124442682390E-002 0.32165871961921430E-015 0.85127143589503334E-018
7.0 0.36319583154945372E+001 0.10773360293617891E-001 0.32487470475552040E-015 0.15225847528616525E-017
8.0 0.36116911376789753E+001 0.69418162730834829E-002 0.32150418990340737E-015 0.98205365423286601E-018
9.0 0.36266234314898123E+001 0.66566137653424791E-002 0.32356673154670843E-015 0.93598836573580681E-018
10.0 0.36344048826786519E+001 0.10221943766535235E-001 0.32398666671438794E-015 0.12832403083195120E-017
