1.0 -0.13185760058297692E+002 0.30782160237973499E-002
2.0 -0.13465396419543394E+002 0.37509264746817274E-002
3.0 -0.13568955167180329E+002 0.36265096637961448E-002
4.0 -0.13602941768709345E+002 0.39005342545717931E-002
5.0 -0.13614230723915341E+002 0.48718850332138269E-002
6.0 -0.13618746169783709E+002 0.34327912297488035E-002
7.0 -0.13621613635445701E+002 0.42337648871030387E-002
8.0 -0.13615036261883887E+002 0.32448224451557348E-002
9.0 -0.13623536272099356E+002 0.38320537152286547E-002
10.0 -0.13617602158785468E+002 0.33652205158770394E-002
